"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Yardbird Southern Table & Bar","8500 Beverly Blvd","90048","Southern American (New) ",0,0,3,"https://s3-media2.fl.yelpcdn.com/bphoto/3oSK3kviVbFtjKY7TAqTfA/o.jpg"
"Ricky's Fish Tacos","3201 Riverside Dr","90027","Food Trucks Tacos ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/xOUSwBSssYYBgbLzqV_2dg/o.jpg"
"Urth Caffé- Melrose","8565 Melrose Ave","90069","Coffee & Tea Breakfast & Brunch Bakeries ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/0TeADHPlkHpqi9DAdqUCaA/o.jpg"
"Hot Motha Clucker","4625 Woodman Ave","91423","Southern Chicken Shop Street Vendors ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/afVv73H_75fLM3ZXK9psbQ/o.jpg"
"Best Fish Taco In Ensenada","1650 Hillhurst Ave","90027","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/oEDBOqMt2u15VA3-61Z9Cg/o.jpg"
"Papa's Chicken","3003 W Olympic Blvd","90006","Chicken Wings Korean American (Traditional) ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/T7TzGh2KC9qYT1R4Sow4fQ/o.jpg"
"Fresh Corn Grill","8714 Santa Monica Blvd","90069","Pizza Sandwiches Salad ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/MFyz_rY8g2xNBOr-OhjOoA/o.jpg"
"いざかや おせん- IZAKAYA OSEN","2903 Sunset Blvd","90026","Sushi Bars Izakaya Seafood ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/DooIduLkNsT4--F_A38r_Q/o.jpg"
"Leo's Tacos Truck","1515 S La Brea Ave","90019","Food Trucks Tacos ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/EnENQLNGtYeRoN1BXM_tBw/o.jpg"
"Otus Thai Kitchen & Coffee","1253 N La Brea Ave","90038","Thai Breakfast & Brunch Cafes ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/k67Y313j-22wyI92QziwCw/o.jpg"
"Wings & Pot","2108 W Manchester Ave","90047","Chicken Wings ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/czApE5NOu2RK8kbr71vaHw/o.jpg"
"Eat This Cafe","6547 Santa Monica Blvd","90038","Breakfast & Brunch Sandwiches Salad ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Qfsjtc6j3cblq4YNLOtWsw/o.jpg"
